imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
9317066.0,berth2,0,2022-11-16 12:10:14,2022-11-21 17:17:58,481.0,Tug,berth,2,5 days 05:07:44,MONGSTAD
9832250.0,berth1,0,2022-06-13 03:05:29,2022-06-14 08:29:37,149999.0,Crude Oil Tanker,berth,1,1 days 05:24:08,MONGSTAD
9724348.0,berth1,0,2022-07-24 13:40:52,2022-07-25 17:17:53,113554.0,Crude Oil Tanker,berth,1,1 days 03:37:01,MONGSTAD
9210983.0,berth2,0,2022-06-03 22:25:03,2022-06-08 18:58:13,834.0,Tug,berth,2,4 days 20:33:10,MONGSTAD
9210983.0,berth2,3,2022-07-25 20:19:15,2022-07-29 23:43:23,834.0,Tug,berth,2,4 days 03:24:08,MONGSTAD
9210983.0,berth2,5,2022-08-13 03:16:49,2022-08-14 12:16:51,834.0,Tug,berth,2,1 days 09:00:02,MONGSTAD
9210983.0,berth2,8,2022-10-21 21:49:11,2022-10-22 18:31:13,834.0,Tug,berth,2,0 days 20:42:02,MONGSTAD
9210983.0,berth2,10,2022-11-16 11:59:00,2022-11-21 17:23:12,834.0,Tug,berth,2,5 days 05:24:12,MONGSTAD
,berth2,2,2022-07-25 19:40:10,2022-07-29 23:54:14,,,berth,2,4 days 04:14:04,MONGSTAD
,berth2,5,2022-10-11 12:53:03,2022-10-13 13:32:05,,,berth,2,2 days 00:39:02,MONGSTAD
,berth2,7,2022-11-03 13:09:49,2022-11-06 13:48:56,,,berth,2,3 days 00:39:07,MONGSTAD
,berth2,9,2022-12-05 09:35:12,2022-12-07 02:00:08,,,berth,2,1 days 16:24:56,MONGSTAD
9803285.0,berth1,0,2022-06-17 23:57:30,2022-06-18 23:39:31,156424.0,Crude Oil Tanker,berth,1,0 days 23:42:01,MONGSTAD
9803285.0,berth1,1,2022-12-23 03:31:25,2022-12-24 10:17:59,156424.0,Crude Oil Tanker,berth,1,1 days 06:46:34,MONGSTAD
9837169.0,berth1,0,2022-09-04 18:38:54,2022-09-06 10:35:56,129632.0,Shuttle Tanker,berth,1,1 days 15:57:02,MONGSTAD
9837169.0,berth1,1,2022-10-21 18:12:26,2022-10-22 07:22:07,129632.0,Shuttle Tanker,berth,1,0 days 13:09:41,MONGSTAD
9910246.0,berth1,0,2022-11-01 13:34:44,2022-11-03 17:52:42,299473.0,Crude Oil Tanker,berth,1,2 days 04:17:58,MONGSTAD
